
Миграционный прирост, человек, значение показателя за год, Всего, Всего
;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;
Городские поселения;38;-108;-22;51;-53;8;-25;19;-58;;64;-9;
в пределах России;;;;;;;;;;;;;
Городские поселения;21;-144;-78;37;-69;-20;-41;8;-78;;-14;-29;
внутрирегиональная;;;;;;;;;;;;;
Городские поселения;85;-53;54;29;0;11;-15;34;-65;;33;16;
межрегиональная;;;;;;;;;;;;;
Городские поселения;-64;-91;-132;8;-69;-31;-26;-26;-13;;-47;-45;
международная;;;;;;;;;;;;;
Городские поселения;17;36;56;14;16;28;16;11;20;;78;20;
со странами СНГ;;;;;;;;;;;;;
Городские поселения;13;38;52;16;17;27;14;11;26;;78;18;
с другими зарубежными странами;;;;;;;;;;;;;
Городские поселения;4;-2;4;-2;-1;1;2;0;-6;;0;2;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Городские поселения;-47;-55;-76;22;-53;-3;-10;-15;7;;31;-25;
Ефимовское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Городские поселения;-36;-31;3;-56;-90;-25;-39;-126;-20;-94;39;16;
в пределах России;;;;;;;;;;;;;
Городские поселения;-56;-65;-30;-77;-127;-37;-46;-123;-39;-108;-36;-18;
внутрирегиональная;;;;;;;;;;;;;
Городские поселения;34;10;8;-43;-69;-27;-52;-99;-58;-67;-39;-22;
межрегиональная;;;;;;;;;;;;;
Городские поселения;-90;-75;-38;-34;-58;-10;6;-24;19;-41;3;4;
международная;;;;;;;;;;;;;
Городские поселения;20;34;33;21;37;12;7;-3;19;14;75;34;
со странами СНГ;;;;;;;;;;;;;
Городские поселения;16;32;30;24;16;20;13;3;16;16;67;34;
с другими зарубежными странами;;;;;;;;;;;;;
Городские поселения;4;2;3;-3;21;-8;-6;-6;3;-2;8;;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Городские поселения;-70;-41;-5;-13;-21;2;13;-27;38;-27;78;38;
Анисимовское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;-55;-6;-14;-1;;;;;;;;;
в пределах России;;;;;;;;;;;;;
Сельские поселения;-68;-27;-38;-31;;;;;;;;;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-45;-35;-52;-18;;;;;;;;;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;-23;8;14;-13;;;;;;;;;
международная;;;;;;;;;;;;;
Сельские поселения;13;21;24;30;;;;;;;;;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;15;19;23;29;;;;;;;;;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;-2;2;1;1;;;;;;;;;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;-10;29;38;17;;;;;;;;;
Большедворское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;21;34;21;-38;20;4;-12;11;-22;11;-1;32;
в пределах России;;;;;;;;;;;;;
Сельские поселения;7;14;-13;-46;-23;-18;-36;-15;-28;17;-18;16;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;39;28;-8;-8;-16;-1;-42;-31;-34;16;-19;21;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;-32;-14;-5;-38;-7;-17;6;16;6;1;1;-5;
международная;;;;;;;;;;;;;
Сельские поселения;14;20;34;8;43;22;24;26;6;-6;17;16;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;14;19;32;7;42;23;24;24;6;-6;17;16;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;;1;2;1;1;-1;;2;;0;;;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;-18;6;29;-30;36;5;30;42;12;-5;18;11;
Борское.;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;10;19;57;161;14;-8;31;-29;-7;39;5;4;
в пределах России;;;;;;;;;;;;;
Сельские поселения;-15;-13;10;124;-17;-39;-13;-55;-35;27;-21;3;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-13;-14;-13;62;-17;-36;-52;-43;-23;-7;-32;21;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;-2;1;23;62;0;-3;39;-12;-12;34;11;-18;
международная;;;;;;;;;;;;;
Сельские поселения;25;32;47;37;31;31;44;26;28;12;26;1;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;22;26;42;37;33;32;41;26;28;12;26;1;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;3;6;5;0;-2;-1;3;;0;0;0;0;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;23;33;70;99;31;28;83;14;16;46;37;-17;
Заборьевское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;-15;-29;-15;-30;;;;;;;;;
в пределах России;;;;;;;;;;;;;
Сельские поселения;-20;-33;-21;-32;;;;;;;;;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-5;-25;-14;-17;;;;;;;;;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;-15;-8;-7;-15;;;;;;;;;
международная;;;;;;;;;;;;;
Сельские поселения;5;4;6;2;;;;;;;;;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;5;4;6;2;;;;;;;;;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;-10;-4;-1;-13;;;;;;;;;
Климовское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;-8;43;20;22;-5;25;2;-36;-3;;;;
в пределах России;;;;;;;;;;;;;
Сельские поселения;-13;13;4;-14;-9;-3;-8;-46;-9;;;;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-1;-3;;-6;-8;-13;-25;-35;-14;;;;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;-12;16;4;-8;-1;10;17;-11;5;;;;
международная;;;;;;;;;;;;;
Сельские поселения;5;30;16;36;4;28;10;10;6;;;;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;5;30;16;35;4;28;10;11;6;;;;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;;;;1;;;;-1;;;;;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;-7;46;20;28;3;38;27;-1;11;;;;
Лидское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;-14;47;-28;-15;-9;-17;-13;-32;-28;;36;42;
в пределах России;;;;;;;;;;;;;
Сельские поселения;-18;43;-35;-22;-39;-21;-41;-39;-44;;5;5;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-9;15;-10;-11;-24;-31;-28;-35;-24;;-20;-18;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;-9;28;-25;-11;-15;10;-13;-4;-20;;25;23;
международная;;;;;;;;;;;;;
Сельские поселения;4;4;7;7;30;4;28;7;16;;31;37;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;4;4;7;6;28;3;28;6;15;;31;36;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;;;;1;2;1;;1;1;;;1;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;-5;32;-18;-4;15;14;15;3;-4;;56;60;
Радогощинское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;16;17;17;-55;-52;-16;-8;-12;0;;;;
в пределах России;;;;;;;;;;;;;
Сельские поселения;10;2;6;-58;-49;-16;-6;-13;-2;;;;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-1;-7;3;-24;-42;-19;-7;-9;-7;;;;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;11;9;3;-34;-7;3;1;-4;5;;;;
международная;;;;;;;;;;;;;
Сельские поселения;6;15;11;3;-3;0;-2;1;2;;;;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;6;13;11;3;-2;0;-1;1;2;;;;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;;2;;;-1;;-1;;;;;;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;17;24;14;-31;-10;3;-1;-3;7;;;;
Самойловское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;8;10;27;48;47;50;59;-26;34;30;42;33;
в пределах России;;;;;;;;;;;;;
Сельские поселения;;0;8;30;55;29;35;-37;16;-1;2;27;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-10;1;;1;27;13;12;-12;21;-14;8;15;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;10;-1;8;29;28;16;23;-25;-5;13;-6;12;
международная;;;;;;;;;;;;;
Сельские поселения;8;10;19;18;-8;21;24;11;18;31;40;6;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;8;10;18;17;-7;21;22;12;19;31;39;3;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;;;1;1;-1;0;2;-1;-1;;1;3;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;18;9;27;47;20;37;47;-14;13;44;34;18;
Волосовский муниципальный район;;;;;;;;;;;;;
Волосовский муниципальный район;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Муниципальный район;718;1092;784;756;197;329;56;298;397;278;531;154;
в пределах России;;;;;;;;;;;;;
Муниципальный район;447;574;452;511;273;247;-83;111;213;183;197;109;
внутрирегиональная;;;;;;;;;;;;;
Муниципальный район;-84;-112;-62;-8;31;-35;-60;-51;-34;12;-20;-78;
межрегиональная;;;;;;;;;;;;;
Муниципальный район;531;686;514;519;242;282;-23;162;247;171;217;187;
международная;;;;;;;;;;;;;
Муниципальный район;271;518;332;245;-76;82;139;187;184;95;334;45;
со странами СНГ;;;;;;;;;;;;;
Муниципальный район;259;481;315;233;-78;84;148;184;179;92;317;63;
с другими зарубежными странами;;;;;;;;;;;;;
Муниципальный район;12;37;17;12;2;-2;-9;3;5;3;17;-18;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Муниципальный район;802;1204;846;764;166;364;116;349;431;266;551;232;
Волосовское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Городские поселения;70;201;25;145;75;61;-71;27;48;;-33;-65;
в пределах России;;;;;;;;;;;;;
Городские поселения;41;93;30;102;43;49;-72;-7;15;;-83;-68;
внутрирегиональная;;;;;;;;;;;;;
Городские поселения;1;-18;-27;11;-28;5;-11;-13;-13;;19;-24;
межрегиональная;;;;;;;;;;;;;
Городские поселения;40;111;57;91;71;44;-61;6;28;;-102;-44;
международная;;;;;;;;;;;;;
Городские поселения;29;108;-5;43;32;12;1;34;33;;50;3;
со странами СНГ;;;;;;;;;;;;;
Городские поселения;31;103;-5;43;26;16;5;33;36;;53;4;
с другими зарубежными странами;;;;;;;;;;;;;
Городские поселения;-2;5;;0;6;-4;-4;1;-3;;-3;-1;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Городские поселения;69;219;52;134;103;56;-60;40;61;;-52;-41;
Бегуницкое;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;89;107;126;133;41;101;50;31;53;;72;20;
в пределах России;;;;;;;;;;;;;
Сельские поселения;62;71;94;105;44;78;22;25;38;;27;8;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-5;10;27;27;15;47;13;9;25;;-17;-11;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;67;61;67;78;29;31;9;16;13;;44;19;
международная;;;;;;;;;;;;;
Сельские поселения;27;36;32;28;-3;23;28;6;15;;45;12;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;23;33;30;24;0;23;27;3;11;;42;16;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;4;3;2;4;-3;0;1;3;4;;3;-4;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;94;97;99;106;26;54;37;22;28;;89;31;
Беседское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;-2;3;26;11;26;27;-6;2;2;;;;
в пределах России;;;;;;;;;;;;;
Сельские поселения;-3;-2;22;10;23;24;-15;1;-2;;;;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-6;-12;10;-6;5;8;-9;4;-5;;;;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;3;10;12;16;18;16;-6;-3;3;;;;
международная;;;;;;;;;;;;;
Сельские поселения;1;5;4;1;3;3;9;1;4;;;;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;1;3;4;2;3;3;9;2;4;;;;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;;2;;-1;;;0;-1;0;;;;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;4;15;16;17;21;19;3;-2;7;;;;
Рабитицкое;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;18;43;13;15;19;17;-10;8;16;;77;87;
в пределах России;;;;;;;;;;;;;
Сельские поселения;8;31;7;9;23;13;-8;7;14;;50;72;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-9;-4;-13;-6;13;7;-19;-7;4;;5;16;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;17;35;20;15;10;6;11;14;10;;45;56;
международная;;;;;;;;;;;;;
Сельские поселения;10;12;6;6;-4;4;-2;1;2;;27;15;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;10;13;6;6;-4;3;-2;1;2;;27;17;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;;-1;;;;1;;;;;0;-2;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;27;47;26;21;6;10;9;15;12;;72;71;
Большеврудское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;83;83;46;79;42;30;-23;57;44;15;156;15;
в пределах России;;;;;;;;;;;;;
Сельские поселения;68;44;11;62;36;30;-21;29;15;-16;67;-25;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;2;-16;-16;9;6;13;-18;9;-10;-42;-24;-32;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;66;60;27;53;30;17;-3;20;25;26;91;7;
международная;;;;;;;;;;;;;
Сельские поселения;15;39;35;17;6;0;-2;28;29;31;89;40;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;12;28;33;20;5;0;-3;29;24;25;79;51;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;3;11;2;-3;1;0;1;-1;5;6;10;-11;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;81;99;62;70;36;17;-5;48;54;57;180;47;
Губаницкое;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;153;142;113;57;34;28;23;-3;25;;;;
в пределах России;;;;;;;;;;;;;
Сельские поселения;88;70;93;40;48;17;0;-38;8;;;;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-19;-6;1;-2;31;-22;10;-19;24;;;;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;107;76;92;42;17;39;-10;-19;-16;;;;
международная;;;;;;;;;;;;;
Сельские поселения;65;72;20;17;-14;11;23;35;17;;;;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;63;71;20;15;-12;13;29;35;18;;;;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;2;1;;2;-2;-2;-6;;-1;;;;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;172;148;112;59;3;50;13;16;1;;;;
Изварское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;70;30;106;52;-12;-17;-34;30;-4;;;;
в пределах России;;;;;;;;;;;;;
Сельские поселения;44;16;55;35;-21;-2;-46;25;3;;;;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-8;-23;-5;-5;13;-11;-17;1;-16;;;;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;52;39;60;40;-34;9;-29;24;19;;;;
международная;;;;;;;;;;;;;
Сельские поселения;26;14;51;17;9;-15;12;5;-7;;;;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;26;13;50;14;9;-17;12;5;-7;;;;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;;1;1;3;;2;;0;0;;;;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;78;53;111;57;-25;-6;-17;29;12;;;;
Калитинское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;70;58;134;76;40;16;34;-15;42;;102;50;
в пределах России;;;;;;;;;;;;;
Сельские поселения;44;29;64;28;21;11;22;-31;29;;60;76;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-9;-19;-18;-20;-2;-21;-14;-10;3;;1;8;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;53;48;82;48;23;32;36;-21;26;;59;68;
международная;;;;;;;;;;;;;
Сельские поселения;26;29;70;48;19;5;12;16;13;;42;-26;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;26;27;70;47;20;4;11;15;14;;39;-25;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;;2;;1;-1;1;1;1;-1;;3;-1;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;79;77;152;96;42;37;48;-5;39;;101;42;
Каложицкое;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;29;53;43;-7;-60;-16;-17;14;-10;;;;
в пределах России;;;;;;;;;;;;;
Сельские поселения;14;34;21;-27;-17;-16;-13;11;-10;;;;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-3;7;7;-16;-14;-30;10;-8;9;;;;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;17;27;14;-11;-3;14;-23;19;-19;;;;
международная;;;;;;;;;;;;;
Сельские поселения;15;19;22;20;-43;0;-4;3;0;;;;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;15;17;22;19;-45;0;-2;3;0;;;;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;;2;;1;2;0;-2;;;;;;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;32;46;36;9;-46;14;-27;22;-19;;;;
Кикеринское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;37;74;29;26;44;8;27;35;50;;;;
в пределах России;;;;;;;;;;;;;
Сельские поселения;22;56;17;8;35;8;15;22;27;;;;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-12;0;7;0;7;7;-2;-2;3;;;;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;34;56;10;8;28;1;17;24;24;;;;
международная;;;;;;;;;;;;;
Сельские поселения;15;18;12;18;9;0;12;13;23;;;;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;14;19;10;17;8;-1;12;13;23;;;;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;1;-1;2;1;1;1;0;;0;;;;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;49;74;22;26;37;1;29;37;47;;;;
Сельцовское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;19;53;27;44;-28;18;32;18;86;;;;
в пределах России;;;;;;;;;;;;;
Сельские поселения;14;24;15;51;-19;5;9;11;66;;;;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-1;-1;;10;-16;-8;-10;-10;-15;;;;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;15;25;15;41;-3;13;19;21;81;;;;
международная;;;;;;;;;;;;;
Сельские поселения;5;29;12;-7;-9;13;23;7;20;;;;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;5;27;12;-8;-9;12;20;8;20;;;;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;;2;;1;0;1;3;-1;0;;;;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;20;54;27;34;-12;26;42;28;101;;;;
Клопицкое;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;13;63;16;22;5;23;37;36;10;;126;19;
в пределах России;;;;;;;;;;;;;
Сельские поселения;9;9;8;37;35;22;25;29;4;;58;27;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-14;1;;29;33;11;11;24;-11;;0;-33;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;23;8;8;8;2;11;14;5;15;;58;60;
международная;;;;;;;;;;;;;
Сельские поселения;4;54;8;-15;-30;1;12;7;6;;68;-8;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;7;52;8;-15;-28;1;12;6;6;;65;-9;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;-3;2;;;-2;;;1;;;3;1;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;27;62;16;-7;-28;12;26;12;21;;126;52;
Курское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;19;53;20;4;-43;15;4;32;20;;;;
в пределах России;;;;;;;;;;;;;
Сельские поселения;-1;5;-7;-5;1;12;-2;26;8;;;;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-4;-20;-11;-19;-15;-12;-5;-5;-3;;;;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;3;25;4;14;16;24;3;31;11;;;;
международная;;;;;;;;;;;;;
Сельские поселения;20;48;27;9;-44;3;6;6;12;;;;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;18;45;23;5;-42;4;7;5;17;;;;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;2;3;4;4;-2;-1;-1;1;-5;;;;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;23;73;31;23;-28;27;9;37;23;;;;
Сабское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;-5;44;17;59;27;0;8;8;-14;-2;31;28;
в пределах России;;;;;;;;;;;;;
Сельские поселения;-6;38;9;47;23;-4;4;-3;-15;-7;18;19;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-4;-8;-7;7;-5;-14;-11;-13;-20;3;-4;-2;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;-2;46;16;40;28;10;15;10;5;-10;22;21;
международная;;;;;;;;;;;;;
Сельские поселения;1;6;8;12;4;4;4;11;1;5;13;9;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;1;6;8;12;4;3;4;11;1;4;12;9;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;;;;;;1;;;;1;1;;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;-1;52;24;52;32;14;19;21;6;-5;35;30;
Терпилицкое;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;28;44;7;19;-17;17;-9;3;-1;;;;
в пределах России;;;;;;;;;;;;;
Сельские поселения;22;28;-7;0;-17;-1;-11;-5;-10;;;;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;2;-2;-11;-12;-7;-10;-1;-6;-9;;;;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;20;30;4;12;-10;9;-10;1;-1;;;;
международная;;;;;;;;;;;;;
Сельские поселения;6;16;14;19;0;18;2;8;9;;;;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;5;11;9;19;-1;19;3;9;3;;;;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;1;5;5;0;1;-1;-1;-1;6;;;;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;26;46;18;31;-10;27;-8;9;8;;;;
Зимитицкое;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;27;41;36;21;4;1;11;15;30;;;;
в пределах России;;;;;;;;;;;;;
Сельские поселения;21;28;20;9;15;1;8;9;23;;;;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;5;-1;-6;-15;-5;-5;13;-5;0;;;;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;16;29;26;24;20;6;-5;14;23;;;;
международная;;;;;;;;;;;;;
Сельские поселения;6;13;16;12;-11;0;3;6;7;;;;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;2;13;15;13;-12;1;4;6;7;;;;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;4;0;1;-1;1;-1;-1;;0;;;;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;22;42;42;36;9;6;-2;20;30;;;;
Волховский муниципальный район;;;;;;;;;;;;;
Волховский муниципальный район;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Муниципальный район;678;713;769;-961;-320;-404;-448;-400;-173;56;11;-39;
в пределах России;;;;;;;;;;;;;
Муниципальный район;439;108;-173;-185;-429;-474;-489;-494;-393;-163;-184;-98;
внутрирегиональная;;;;;;;;;;;;;
Муниципальный район;3;-70;43;-122;-113;-217;-183;-348;-228;-122;-88;-108;
межрегиональная;;;;;;;;;;;;;
Муниципальный район;436;178;-216;-63;-316;-257;-306;-146;-165;-41;-96;10;
международная;;;;;;;;;;;;;
Муниципальный район;239;605;942;-776;109;70;41;94;220;219;195;59;
со странами СНГ;;;;;;;;;;;;;
Муниципальный район;201;576;913;-783;110;71;41;88;204;224;185;59;
с другими зарубежными странами;;;;;;;;;;;;;
Муниципальный район;38;29;29;7;-1;-1;0;6;16;-5;10;0;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Муниципальный район;675;783;726;-839;-207;-187;-265;-52;55;178;99;69;
Волховское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
