oktmo,name,year,whereabouts,total saldo
41603472,Радогощинское,2012,"Миграция, всего",17.0
41603472,Радогощинское,2013,"Миграция, всего",17.0
41603472,Радогощинское,2014,"Миграция, всего",-55.0
41603472,Радогощинское,2015,"Миграция, всего",-52.0
41603472,Радогощинское,2016,"Миграция, всего",-16.0
41603472,Радогощинское,2017,"Миграция, всего",-8.0
41603472,Радогощинское,2018,"Миграция, всего",-12.0
41603472,Радогощинское,2019,"Миграция, всего",0.0
41603476,Самойловское,2011,"Миграция, всего",8.0
41603476,Самойловское,2012,"Миграция, всего",10.0
41603476,Самойловское,2013,"Миграция, всего",27.0
41603476,Самойловское,2014,"Миграция, всего",48.0
41603476,Самойловское,2015,"Миграция, всего",47.0
41603476,Самойловское,2016,"Миграция, всего",50.0
41603476,Самойловское,2017,"Миграция, всего",59.0
41603476,Самойловское,2018,"Миграция, всего",-26.0
41603476,Самойловское,2019,"Миграция, всего",34.0
41603476,Самойловское,2020,"Миграция, всего",30.0
41603476,Самойловское,2021,"Миграция, всего",42.0
41603476,Самойловское,2022,"Миграция, всего",33.0
41606000,Волосовский муниципальный район,2011,"Миграция, всего",718.0
41606000,Волосовский муниципальный район,2012,"Миграция, всего",1092.0
41606000,Волосовский муниципальный район,2013,"Миграция, всего",784.0
41606000,Волосовский муниципальный район,2014,"Миграция, всего",756.0
41606000,Волосовский муниципальный район,2015,"Миграция, всего",197.0
41606000,Волосовский муниципальный район,2016,"Миграция, всего",329.0
41606000,Волосовский муниципальный район,2017,"Миграция, всего",56.0
41606000,Волосовский муниципальный район,2018,"Миграция, всего",298.0
41606000,Волосовский муниципальный район,2019,"Миграция, всего",397.0
41606000,Волосовский муниципальный район,2020,"Миграция, всего",278.0
41606000,Волосовский муниципальный район,2021,"Миграция, всего",531.0
41606000,Волосовский муниципальный район,2022,"Миграция, всего",154.0
41606101,Волосовское,2011,"Миграция, всего",70.0
41606101,Волосовское,2012,"Миграция, всего",201.0
41606101,Волосовское,2013,"Миграция, всего",25.0
41606101,Волосовское,2014,"Миграция, всего",145.0
41606101,Волосовское,2015,"Миграция, всего",75.0
41606101,Волосовское,2016,"Миграция, всего",61.0
41606101,Волосовское,2017,"Миграция, всего",-71.0
41606101,Волосовское,2018,"Миграция, всего",27.0
41606101,Волосовское,2019,"Миграция, всего",48.0
41606101,Волосовское,2021,"Миграция, всего",-33.0
41606101,Волосовское,2022,"Миграция, всего",-65.0
41606404,Бегуницкое,2011,"Миграция, всего",89.0
41606404,Бегуницкое,2012,"Миграция, всего",107.0
41606404,Бегуницкое,2013,"Миграция, всего",126.0
41606404,Бегуницкое,2014,"Миграция, всего",133.0
41606404,Бегуницкое,2015,"Миграция, всего",41.0
41606404,Бегуницкое,2016,"Миграция, всего",101.0
41606404,Бегуницкое,2017,"Миграция, всего",50.0
41606404,Бегуницкое,2018,"Миграция, всего",31.0
41606404,Бегуницкое,2019,"Миграция, всего",53.0
41606404,Бегуницкое,2021,"Миграция, всего",72.0
41606404,Бегуницкое,2022,"Миграция, всего",20.0
41606406,Беседское,2011,"Миграция, всего",-2.0
41606406,Беседское,2012,"Миграция, всего",3.0
41606406,Беседское,2013,"Миграция, всего",26.0
41606406,Беседское,2014,"Миграция, всего",11.0
41606406,Беседское,2015,"Миграция, всего",26.0
41606406,Беседское,2016,"Миграция, всего",27.0
41606406,Беседское,2017,"Миграция, всего",-6.0
41606406,Беседское,2018,"Миграция, всего",2.0
41606406,Беседское,2019,"Миграция, всего",2.0
41606408,Рабитицкое,2011,"Миграция, всего",18.0
41606408,Рабитицкое,2012,"Миграция, всего",43.0
41606408,Рабитицкое,2013,"Миграция, всего",13.0
41606408,Рабитицкое,2014,"Миграция, всего",15.0
41606408,Рабитицкое,2015,"Миграция, всего",19.0
41606408,Рабитицкое,2016,"Миграция, всего",17.0
41606408,Рабитицкое,2017,"Миграция, всего",-10.0
41606408,Рабитицкое,2018,"Миграция, всего",8.0
41606408,Рабитицкое,2019,"Миграция, всего",16.0
41606408,Рабитицкое,2021,"Миграция, всего",77.0
41606408,Рабитицкое,2022,"Миграция, всего",87.0
41606412,Большеврудское,2011,"Миграция, всего",83.0
41606412,Большеврудское,2012,"Миграция, всего",83.0
41606412,Большеврудское,2013,"Миграция, всего",46.0
41606412,Большеврудское,2014,"Миграция, всего",79.0
41606412,Большеврудское,2015,"Миграция, всего",42.0
41606412,Большеврудское,2016,"Миграция, всего",30.0
41606412,Большеврудское,2017,"Миграция, всего",-23.0
41606412,Большеврудское,2018,"Миграция, всего",57.0
41606412,Большеврудское,2019,"Миграция, всего",44.0
41606412,Большеврудское,2020,"Миграция, всего",15.0
41606412,Большеврудское,2021,"Миграция, всего",156.0
41606412,Большеврудское,2022,"Миграция, всего",15.0
41606416,Губаницкое,2011,"Миграция, всего",153.0
41606416,Губаницкое,2012,"Миграция, всего",142.0
41606416,Губаницкое,2013,"Миграция, всего",113.0
41606416,Губаницкое,2014,"Миграция, всего",57.0
41606416,Губаницкое,2015,"Миграция, всего",34.0
41606416,Губаницкое,2016,"Миграция, всего",28.0
41606416,Губаницкое,2017,"Миграция, всего",23.0
41606416,Губаницкое,2018,"Миграция, всего",-3.0
41606416,Губаницкое,2019,"Миграция, всего",25.0
41606418,Изварское,2011,"Миграция, всего",70.0
41606418,Изварское,2012,"Миграция, всего",30.0
41606418,Изварское,2013,"Миграция, всего",106.0
41606418,Изварское,2014,"Миграция, всего",52.0
41606418,Изварское,2015,"Миграция, всего",-12.0
41606418,Изварское,2016,"Миграция, всего",-17.0
41606418,Изварское,2017,"Миграция, всего",-34.0
41606418,Изварское,2018,"Миграция, всего",30.0
41606418,Изварское,2019,"Миграция, всего",-4.0
41606420,Калитинское,2011,"Миграция, всего",70.0
41606420,Калитинское,2012,"Миграция, всего",58.0
41606420,Калитинское,2013,"Миграция, всего",134.0
41606420,Калитинское,2014,"Миграция, всего",76.0
41606420,Калитинское,2015,"Миграция, всего",40.0
41606420,Калитинское,2016,"Миграция, всего",16.0
41606420,Калитинское,2017,"Миграция, всего",34.0
41606420,Калитинское,2018,"Миграция, всего",-15.0
41606420,Калитинское,2019,"Миграция, всего",42.0
41606420,Калитинское,2021,"Миграция, всего",102.0
41606420,Калитинское,2022,"Миграция, всего",50.0
41606424,Каложицкое,2011,"Миграция, всего",29.0
41606424,Каложицкое,2012,"Миграция, всего",53.0
41606424,Каложицкое,2013,"Миграция, всего",43.0
41606424,Каложицкое,2014,"Миграция, всего",-7.0
41606424,Каложицкое,2015,"Миграция, всего",-60.0
41606424,Каложицкое,2016,"Миграция, всего",-16.0
41606424,Каложицкое,2017,"Миграция, всего",-17.0
41606424,Каложицкое,2018,"Миграция, всего",14.0
41606424,Каложицкое,2019,"Миграция, всего",-10.0
41606425,Кикеринское,2011,"Миграция, всего",37.0
41606425,Кикеринское,2012,"Миграция, всего",74.0
41606425,Кикеринское,2013,"Миграция, всего",29.0
41606425,Кикеринское,2014,"Миграция, всего",26.0
41606425,Кикеринское,2015,"Миграция, всего",44.0
41606425,Кикеринское,2016,"Миграция, всего",8.0
41606425,Кикеринское,2017,"Миграция, всего",27.0
41606425,Кикеринское,2018,"Миграция, всего",35.0
41606425,Кикеринское,2019,"Миграция, всего",50.0
41606428,Сельцовское,2011,"Миграция, всего",19.0
41606428,Сельцовское,2012,"Миграция, всего",53.0
41606428,Сельцовское,2013,"Миграция, всего",27.0
41606428,Сельцовское,2014,"Миграция, всего",44.0
41606428,Сельцовское,2015,"Миграция, всего",-28.0
41606428,Сельцовское,2016,"Миграция, всего",18.0
41606428,Сельцовское,2017,"Миграция, всего",32.0
41606428,Сельцовское,2018,"Миграция, всего",18.0
41606428,Сельцовское,2019,"Миграция, всего",86.0
41606430,Клопицкое,2011,"Миграция, всего",13.0
41606430,Клопицкое,2012,"Миграция, всего",63.0
41606430,Клопицкое,2013,"Миграция, всего",16.0
41606430,Клопицкое,2014,"Миграция, всего",22.0
41606430,Клопицкое,2015,"Миграция, всего",5.0
41606430,Клопицкое,2016,"Миграция, всего",23.0
41606430,Клопицкое,2017,"Миграция, всего",37.0
41606430,Клопицкое,2018,"Миграция, всего",36.0
41606430,Клопицкое,2019,"Миграция, всего",10.0
41606430,Клопицкое,2021,"Миграция, всего",126.0
41606430,Клопицкое,2022,"Миграция, всего",19.0
41606432,Курское,2011,"Миграция, всего",19.0
41606432,Курское,2012,"Миграция, всего",53.0
41606432,Курское,2013,"Миграция, всего",20.0
41606432,Курское,2014,"Миграция, всего",4.0
41606432,Курское,2015,"Миграция, всего",-43.0
41606432,Курское,2016,"Миграция, всего",15.0
41606432,Курское,2017,"Миграция, всего",4.0
41606432,Курское,2018,"Миграция, всего",32.0
41606432,Курское,2019,"Миграция, всего",20.0
41606436,Сабское,2011,"Миграция, всего",-5.0
41606436,Сабское,2012,"Миграция, всего",44.0
41606436,Сабское,2013,"Миграция, всего",17.0
41606436,Сабское,2014,"Миграция, всего",59.0
41606436,Сабское,2015,"Миграция, всего",27.0
41606436,Сабское,2016,"Миграция, всего",0.0
41606436,Сабское,2017,"Миграция, всего",8.0
41606436,Сабское,2018,"Миграция, всего",8.0
41606436,Сабское,2019,"Миграция, всего",-14.0
41606436,Сабское,2020,"Миграция, всего",-2.0
41606436,Сабское,2021,"Миграция, всего",31.0
41606436,Сабское,2022,"Миграция, всего",28.0
41606444,Терпилицкое,2011,"Миграция, всего",28.0
41606444,Терпилицкое,2012,"Миграция, всего",44.0
41606444,Терпилицкое,2013,"Миграция, всего",7.0
41606444,Терпилицкое,2014,"Миграция, всего",19.0
41606444,Терпилицкое,2015,"Миграция, всего",-17.0
41606444,Терпилицкое,2016,"Миграция, всего",17.0
41606444,Терпилицкое,2017,"Миграция, всего",-9.0
41606444,Терпилицкое,2018,"Миграция, всего",3.0
41606444,Терпилицкое,2019,"Миграция, всего",-1.0
41606452,Зимитицкое,2011,"Миграция, всего",27.0
41606452,Зимитицкое,2012,"Миграция, всего",41.0
41606452,Зимитицкое,2013,"Миграция, всего",36.0
41606452,Зимитицкое,2014,"Миграция, всего",21.0
41606452,Зимитицкое,2015,"Миграция, всего",4.0
41606452,Зимитицкое,2016,"Миграция, всего",1.0
41606452,Зимитицкое,2017,"Миграция, всего",11.0
41606452,Зимитицкое,2018,"Миграция, всего",15.0
41606452,Зимитицкое,2019,"Миграция, всего",30.0
41609000,Волховский муниципальный район,2011,"Миграция, всего",678.0
41609000,Волховский муниципальный район,2012,"Миграция, всего",713.0
41609000,Волховский муниципальный район,2013,"Миграция, всего",769.0
41609000,Волховский муниципальный район,2014,"Миграция, всего",-961.0
41609000,Волховский муниципальный район,2015,"Миграция, всего",-320.0
41609000,Волховский муниципальный район,2016,"Миграция, всего",-404.0
41609000,Волховский муниципальный район,2017,"Миграция, всего",-448.0
41609000,Волховский муниципальный район,2018,"Миграция, всего",-400.0
41609000,Волховский муниципальный район,2019,"Миграция, всего",-173.0
41609000,Волховский муниципальный район,2020,"Миграция, всего",56.0
41609000,Волховский муниципальный район,2021,"Миграция, всего",11.0
41609000,Волховский муниципальный район,2022,"Миграция, всего",-39.0
41609101,Волховское,2011,"Миграция, всего",183.0
41609101,Волховское,2012,"Миграция, всего",358.0
41609101,Волховское,2013,"Миграция, всего",145.0
41609101,Волховское,2014,"Миграция, всего",-106.0
41609101,Волховское,2015,"Миграция, всего",-172.0
41609101,Волховское,2016,"Миграция, всего",-132.0
41609101,Волховское,2017,"Миграция, всего",-104.0
41609101,Волховское,2018,"Миграция, всего",-89.0
41609101,Волховское,2019,"Миграция, всего",37.0
41609101,Волховское,2021,"Миграция, всего",-39.0
41609101,Волховское,2022,"Миграция, всего",55.0
41609104,Новоладожское,2011,"Миграция, всего",-1.0
41609104,Новоладожское,2012,"Миграция, всего",7.0
41609104,Новоладожское,2013,"Миграция, всего",132.0
41609104,Новоладожское,2014,"Миграция, всего",-149.0
41609104,Новоладожское,2015,"Миграция, всего",-56.0
41609104,Новоладожское,2016,"Миграция, всего",-17.0
41609104,Новоладожское,2017,"Миграция, всего",-135.0
41609104,Новоладожское,2018,"Миграция, всего",-77.0
41609104,Новоладожское,2019,"Миграция, всего",1.0
41609104,Новоладожское,2021,"Миграция, всего",-23.0
41609104,Новоладожское,2022,"Миграция, всего",-32.0
41609108,Сясьстройское,2011,"Миграция, всего",24.0
41609108,Сясьстройское,2012,"Миграция, всего",-63.0
41609108,Сясьстройское,2013,"Миграция, всего",234.0
41609108,Сясьстройское,2014,"Миграция, всего",-239.0
41609108,Сясьстройское,2015,"Миграция, всего",14.0
41609108,Сясьстройское,2016,"Миграция, всего",-79.0
41609108,Сясьстройское,2017,"Миграция, всего",-23.0
41609108,Сясьстройское,2018,"Миграция, всего",-167.0
41609108,Сясьстройское,2019,"Миграция, всего",-2.0
41609108,Сясьстройское,2021,"Миграция, всего",38.0
41609108,Сясьстройское,2022,"Миграция, всего",43.0
41609403,Вындиноостровское,2011,"Миграция, всего",64.0
41609403,Вындиноостровское,2012,"Миграция, всего",30.0
41609403,Вындиноостровское,2013,"Миграция, всего",1.0
41609403,Вындиноостровское,2014,"Миграция, всего",-33.0
41609403,Вындиноостровское,2015,"Миграция, всего",3.0
41609403,Вындиноостровское,2016,"Миграция, всего",-6.0
41609403,Вындиноостровское,2017,"Миграция, всего",-20.0
41609403,Вындиноостровское,2018,"Миграция, всего",-30.0
41609403,Вындиноостровское,2019,"Миграция, всего",-6.0
41609403,Вындиноостровское,2021,"Миграция, всего",23.0
41609403,Вындиноостровское,2022,"Миграция, всего",-2.0
41609418,Иссадское,2011,"Миграция, всего",80.0
41609418,Иссадское,2012,"Миграция, всего",71.0
41609418,Иссадское,2013,"Миграция, всего",10.0
41609418,Иссадское,2014,"Миграция, всего",5.0
41609418,Иссадское,2015,"Миграция, всего",-1.0
41609418,Иссадское,2016,"Миграция, всего",-43.0
41609418,Иссадское,2017,"Миграция, всего",4.0
41609418,Иссадское,2018,"Миграция, всего",-10.0
41609418,Иссадское,2019,"Миграция, всего",-27.0
41609418,Иссадское,2020,"Миграция, всего",-4.0
41609418,Иссадское,2021,"Миграция, всего",-3.0
41609418,Иссадское,2022,"Миграция, всего",-4.0
41609427,Колчановское,2011,"Миграция, всего",18.0
41609427,Колчановское,2012,"Миграция, всего",-35.0
41609427,Колчановское,2013,"Миграция, всего",9.0
41609427,Колчановское,2014,"Миграция, всего",-85.0
41609427,Колчановское,2015,"Миграция, всего",-4.0
41609427,Колчановское,2016,"Миграция, всего",-33.0
41609427,Колчановское,2017,"Миграция, всего",-31.0
41609427,Колчановское,2018,"Миграция, всего",-48.0
41609427,Колчановское,2019,"Миграция, всего",-78.0
41609427,Колчановское,2020,"Миграция, всего",-47.0
41609427,Колчановское,2021,"Миграция, всего",-19.0
41609427,Колчановское,2022,"Миграция, всего",4.0
41609444,Пашское,2011,"Миграция, всего",118.0
41609444,Пашское,2012,"Миграция, всего",144.0
41609444,Пашское,2013,"Миграция, всего",63.0
41609444,Пашское,2014,"Миграция, всего",-153.0
41609444,Пашское,2015,"Миграция, всего",-42.0
41609444,Пашское,2016,"Миграция, всего",-85.0
41609444,Пашское,2017,"Миграция, всего",-55.0
41609444,Пашское,2018,"Миграция, всего",9.0
41609444,Пашское,2019,"Миграция, всего",-14.0
41609444,Пашское,2020,"Миграция, всего",-8.0
41609444,Пашское,2021,"Миграция, всего",-25.0
41609444,Пашское,2022,"Миграция, всего",-53.0
41609450,Потанинское,2011,"Миграция, всего",21.0
41609450,Потанинское,2012,"Миграция, всего",-3.0
41609450,Потанинское,2013,"Миграция, всего",-10.0
41609450,Потанинское,2014,"Миграция, всего",18.0
41609450,Потанинское,2015,"Миграция, всего",0.0
41609450,Потанинское,2016,"Миграция, всего",0.0
41609450,Потанинское,2017,"Миграция, всего",-3.0
41609450,Потанинское,2018,"Миграция, всего",9.0
41609450,Потанинское,2019,"Миграция, всего",-8.0
41609450,Потанинское,2021,"Миграция, всего",21.0
41609450,Потанинское,2022,"Миграция, всего",-8.0
41609453,Бережковское,2011,"Миграция, всего",20.0
41609453,Бережковское,2012,"Миграция, всего",58.0
41609453,Бережковское,2013,"Миграция, всего",-17.0
41609453,Бережковское,2014,"Миграция, всего",-3.0
41609453,Бережковское,2015,"Миграция, всего",0.0
41609453,Бережковское,2016,"Миграция, всего",8.0
41609453,Бережковское,2017,"Миграция, всего",-18.0
41609453,Бережковское,2018,"Миграция, всего",24.0
41609453,Бережковское,2019,"Миграция, всего",-23.0
41609453,Бережковское,2020,"Миграция, всего",32.0
41609453,Бережковское,2021,"Миграция, всего",-8.0
41609453,Бережковское,2022,"Миграция, всего",-22.0
41609461,Селивановское,2011,"Миграция, всего",1.0
41609461,Селивановское,2012,"Миграция, всего",75.0
41609461,Селивановское,2013,"Миграция, всего",61.0
41609461,Селивановское,2014,"Миграция, всего",-69.0
41609461,Селивановское,2015,"Миграция, всего",3.0
41609461,Селивановское,2016,"Миграция, всего",4.0
41609461,Селивановское,2017,"Миграция, всего",-12.0
41609461,Селивановское,2018,"Миграция, всего",-23.0
41609461,Селивановское,2019,"Миграция, всего",-19.0
41609461,Селивановское,2020,"Миграция, всего",-4.0
41609461,Селивановское,2021,"Миграция, всего",10.0
41609461,Селивановское,2022,"Миграция, всего",-9.0
41609462,Староладожское,2011,"Миграция, всего",64.0
41609462,Староладожское,2012,"Миграция, всего",14.0
41609462,Староладожское,2013,"Миграция, всего",9.0
41609462,Староладожское,2014,"Миграция, всего",-44.0
41609462,Староладожское,2015,"Миграция, всего",-46.0
41609462,Староладожское,2016,"Миграция, всего",-19.0
41609462,Староладожское,2017,"Миграция, всего",-6.0
41609462,Староладожское,2018,"Миграция, всего",-12.0
41609462,Староладожское,2019,"Миграция, всего",8.0
41609462,Староладожское,2020,"Миграция, всего",-20.0
41609462,Староладожское,2021,"Миграция, всего",16.0
41609462,Староладожское,2022,"Миграция, всего",-7.0
41609465,Усадищенское,2011,"Миграция, всего",29.0
41609465,Усадищенское,2012,"Миграция, всего",15.0
41609465,Усадищенское,2013,"Миграция, всего",15.0
41609465,Усадищенское,2014,"Миграция, всего",24.0
41609465,Усадищенское,2015,"Миграция, всего",3.0
41609465,Усадищенское,2016,"Миграция, всего",-11.0
41609465,Усадищенское,2017,"Миграция, всего",-2.0
41609465,Усадищенское,2018,"Миграция, всего",11.0
41609465,Усадищенское,2019,"Миграция, всего",-10.0
41609465,Усадищенское,2020,"Миграция, всего",-5.0
41609465,Усадищенское,2021,"Миграция, всего",-3.0
41609465,Усадищенское,2022,"Миграция, всего",-16.0
41609468,Хваловское,2011,"Миграция, всего",-40.0
41609468,Хваловское,2012,"Миграция, всего",-30.0
41609468,Хваловское,2013,"Миграция, всего",-9.0
41609468,Хваловское,2014,"Миграция, всего",1.0
41609468,Хваловское,2015,"Миграция, всего",-2.0
41609468,Хваловское,2016,"Миграция, всего",-13.0
41609468,Хваловское,2017,"Миграция, всего",-28.0
41609468,Хваловское,2018,"Миграция, всего",-19.0
41609468,Хваловское,2019,"Миграция, всего",-32.0
41609468,Хваловское,2020,"Миграция, всего",-2.0
41609468,Хваловское,2021,"Миграция, всего",4.0
41609468,Хваловское,2022,"Миграция, всего",-14.0
41609471,Кисельнинское,2011,"Миграция, всего",76.0
41609471,Кисельнинское,2012,"Миграция, всего",84.0
41609471,Кисельнинское,2013,"Миграция, всего",65.0
41609471,Кисельнинское,2014,"Миграция, всего",-72.0
41609471,Кисельнинское,2015,"Миграция, всего",-22.0
41609471,Кисельнинское,2016,"Миграция, всего",6.0
41609471,Кисельнинское,2017,"Миграция, всего",6.0
41609471,Кисельнинское,2018,"Миграция, всего",11.0
41609471,Кисельнинское,2019,"Миграция, всего",8.0
41609471,Кисельнинское,2020,"Миграция, всего",21.0
41609471,Кисельнинское,2021,"Миграция, всего",11.0
41609471,Кисельнинское,2022,"Миграция, всего",19.0
41609480,Свирицкое,2011,"Миграция, всего",21.0
41609480,Свирицкое,2012,"Миграция, всего",-12.0
41609480,Свирицкое,2013,"Миграция, всего",61.0
41609480,Свирицкое,2014,"Миграция, всего",-56.0
41609480,Свирицкое,2015,"Миграция, всего",2.0
41609480,Свирицкое,2016,"Миграция, всего",16.0
41609480,Свирицкое,2017,"Миграция, всего",-21.0
41609480,Свирицкое,2018,"Миграция, всего",11.0
41609480,Свирицкое,2019,"Миграция, всего",-8.0
41609480,Свирицкое,2021,"Миграция, всего",8.0
41609480,Свирицкое,2022,"Миграция, всего",7.0
41612000,Всеволожский муниципальный район,2011,"Миграция, всего",6389.0
41612000,Всеволожский муниципальный район,2012,"Миграция, всего",8909.0
41612000,Всеволожский муниципальный район,2013,"Миграция, всего",12008.0
41612000,Всеволожский муниципальный район,2014,"Миграция, всего",11666.0
41612000,Всеволожский муниципальный район,2015,"Миграция, всего",11803.0
41612000,Всеволожский муниципальный район,2016,"Миграция, всего",19329.0
41612000,Всеволожский муниципальный район,2017,"Миграция, всего",27922.0
41612000,Всеволожский муниципальный район,2018,"Миграция, всего",44184.0
41612000,Всеволожский муниципальный район,2019,"Миграция, всего",39719.0
41612000,Всеволожский муниципальный район,2020,"Миграция, всего",35893.0
41612000,Всеволожский муниципальный район,2021,"Миграция, всего",34728.0
41612000,Всеволожский муниципальный район,2022,"Миграция, всего",28336.0
41612101,Всеволожское,2011,"Миграция, всего",938.0
41612101,Всеволожское,2012,"Миграция, всего",2102.0
41612101,Всеволожское,2013,"Миграция, всего",2507.0
41612101,Всеволожское,2014,"Миграция, всего",2197.0
41612101,Всеволожское,2015,"Миграция, всего",1680.0
41612101,Всеволожское,2016,"Миграция, всего",2357.0
41612101,Всеволожское,2017,"Миграция, всего",2407.0
41612101,Всеволожское,2018,"Миграция, всего",1340.0
41612101,Всеволожское,2019,"Миграция, всего",415.0
41612101,Всеволожское,2021,"Миграция, всего",1655.0
41612101,Всеволожское,2022,"Миграция, всего",-120.0
41612102,Сертоловское,2011,"Миграция, всего",779.0
41612102,Сертоловское,2012,"Миграция, всего",758.0
41612102,Сертоловское,2013,"Миграция, всего",1210.0
41612102,Сертоловское,2014,"Миграция, всего",432.0
41612102,Сертоловское,2015,"Миграция, всего",131.0
41612102,Сертоловское,2016,"Миграция, всего",152.0
41612102,Сертоловское,2017,"Миграция, всего",1202.0
41612102,Сертоловское,2018,"Миграция, всего",1904.0
41612102,Сертоловское,2019,"Миграция, всего",2089.0
