oktmo,name,year,whereabouts,saldo
41603000,Бокситогорский муниципальный район,2019,"Миграция, всего",-88.0
41603000,Бокситогорский муниципальный район,2019,В пределах России,-205.0
41603000,Бокситогорский муниципальный район,2019,Внутрирегиональная,-179.0
41603000,Бокситогорский муниципальный район,2019,Межрегиональная,-26.0
41603000,Бокситогорский муниципальный район,2019,Международная,117.0
41603000,Бокситогорский муниципальный район,2019,Со странами СНГ,120.0
41603000,Бокситогорский муниципальный район,2019,С другими зарубежными странами,-3.0
41603000,Бокситогорский муниципальный район,2019,Внешняя (для региона)  миграция,91.0
41603000,Бокситогорский муниципальный район,2020,"Миграция, всего",15.0
41603000,Бокситогорский муниципальный район,2020,В пределах России,-69.0
41603000,Бокситогорский муниципальный район,2020,Внутрирегиональная,-52.0
41603000,Бокситогорский муниципальный район,2020,Межрегиональная,-17.0
41603000,Бокситогорский муниципальный район,2020,Международная,84.0
41603000,Бокситогорский муниципальный район,2020,Со странами СНГ,88.0
41603000,Бокситогорский муниципальный район,2020,С другими зарубежными странами,-4.0
41603000,Бокситогорский муниципальный район,2020,Внешняя (для региона)  миграция,67.0
41603000,Бокситогорский муниципальный район,2021,"Миграция, всего",-55.0
41603000,Бокситогорский муниципальный район,2021,В пределах России,-282.0
41603000,Бокситогорский муниципальный район,2021,Внутрирегиональная,-80.0
41603000,Бокситогорский муниципальный район,2021,Межрегиональная,-202.0
41603000,Бокситогорский муниципальный район,2021,Международная,227.0
41603000,Бокситогорский муниципальный район,2021,Со странами СНГ,222.0
41603000,Бокситогорский муниципальный район,2021,С другими зарубежными странами,5.0
41603000,Бокситогорский муниципальный район,2021,Внешняя (для региона)  миграция,25.0
41603000,Бокситогорский муниципальный район,2022,"Миграция, всего",-5.0
41603000,Бокситогорский муниципальный район,2022,В пределах России,-69.0
41603000,Бокситогорский муниципальный район,2022,Внутрирегиональная,-27.0
41603000,Бокситогорский муниципальный район,2022,Межрегиональная,-42.0
41603000,Бокситогорский муниципальный район,2022,Международная,64.0
41603000,Бокситогорский муниципальный район,2022,Со странами СНГ,62.0
41603000,Бокситогорский муниципальный район,2022,С другими зарубежными странами,2.0
41603000,Бокситогорский муниципальный район,2022,Внешняя (для региона)  миграция,22.0
41603101,Бокситогорское,2015,"Миграция, всего",112.0
41603101,Бокситогорское,2015,В пределах России,58.0
41603101,Бокситогорское,2015,Внутрирегиональная,9.0
41603101,Бокситогорское,2015,Межрегиональная,49.0
41603101,Бокситогорское,2015,Международная,54.0
41603101,Бокситогорское,2015,Со странами СНГ,55.0
41603101,Бокситогорское,2015,С другими зарубежными странами,-1.0
41603101,Бокситогорское,2015,Внешняя (для региона)  миграция,103.0
41603101,Бокситогорское,2016,"Миграция, всего",94.0
41603101,Бокситогорское,2016,В пределах России,42.0
41603101,Бокситогорское,2016,Внутрирегиональная,43.0
41603101,Бокситогорское,2016,Межрегиональная,-1.0
41603101,Бокситогорское,2016,Международная,52.0
41603101,Бокситогорское,2016,Со странами СНГ,47.0
41603101,Бокситогорское,2016,С другими зарубежными странами,nan
41603101,Бокситогорское,2016,Внешняя (для региона)  миграция,51.0
41603101,Бокситогорское,2017,"Миграция, всего",90.0
41603101,Бокситогорское,2017,В пределах России,33.0
41603101,Бокситогорское,2017,Внутрирегиональная,16.0
41603101,Бокситогорское,2017,Межрегиональная,17.0
41603101,Бокситогорское,2017,Международная,57.0
41603101,Бокситогорское,2017,Со странами СНГ,56.0
41603101,Бокситогорское,2017,С другими зарубежными странами,1.0
41603101,Бокситогорское,2017,Внешняя (для региона)  миграция,74.0
41603101,Бокситогорское,2018,"Миграция, всего",11.0
41603101,Бокситогорское,2018,В пределах России,-14.0
41603101,Бокситогорское,2018,Внутрирегиональная,-22.0
41603101,Бокситогорское,2018,Межрегиональная,8.0
41603101,Бокситогорское,2018,Международная,25.0
41603101,Бокситогорское,2018,Со странами СНГ,22.0
41603101,Бокситогорское,2018,С другими зарубежными странами,nan
41603101,Бокситогорское,2018,Внешняя (для региона)  миграция,33.0
41603101,Бокситогорское,2019,"Миграция, всего",-12.0
41603101,Бокситогорское,2019,В пределах России,-44.0
41603101,Бокситогорское,2019,Внутрирегиональная,-22.0
41603101,Бокситогорское,2019,Межрегиональная,-22.0
41603101,Бокситогорское,2019,Международная,32.0
41603101,Бокситогорское,2019,Со странами СНГ,30.0
41603101,Бокситогорское,2019,С другими зарубежными странами,2.0
41603101,Бокситогорское,2019,Внешняя (для региона)  миграция,10.0
41603101,Бокситогорское,2021,"Миграция, всего",-153.0
41603101,Бокситогорское,2021,В пределах России,-193.0
41603101,Бокситогорское,2021,Внутрирегиональная,-27.0
41603101,Бокситогорское,2021,Межрегиональная,-166.0
41603101,Бокситогорское,2021,Международная,40.0
41603101,Бокситогорское,2021,Со странами СНГ,38.0
41603101,Бокситогорское,2021,С другими зарубежными странами,nan
41603101,Бокситогорское,2021,Внешняя (для региона)  миграция,-126.0
41603101,Бокситогорское,2022,"Миграция, всего",-56.0
41603101,Бокситогорское,2022,В пределах России,-40.0
41603101,Бокситогорское,2022,Внутрирегиональная,-8.0
41603101,Бокситогорское,2022,Межрегиональная,-32.0
41603101,Бокситогорское,2022,Международная,-16.0
41603101,Бокситогорское,2022,Со странами СНГ,-15.0
41603101,Бокситогорское,2022,С другими зарубежными странами,-1.0
41603101,Бокситогорское,2022,Внешняя (для региона)  миграция,-48.0
41603102,Пикалёвское,2015,"Миграция, всего",-82.0
41603102,Пикалёвское,2015,В пределах России,-89.0
41603102,Пикалёвское,2015,Внутрирегиональная,-34.0
41603102,Пикалёвское,2015,Межрегиональная,-55.0
41603102,Пикалёвское,2015,Международная,7.0
41603102,Пикалёвское,2015,Со странами СНГ,8.0
41603102,Пикалёвское,2015,С другими зарубежными странами,-1.0
41603102,Пикалёвское,2015,Внешняя (для региона)  миграция,-48.0
41603102,Пикалёвское,2016,"Миграция, всего",-16.0
41603102,Пикалёвское,2016,В пределах России,-36.0
41603102,Пикалёвское,2016,Внутрирегиональная,-2.0
41603102,Пикалёвское,2016,Межрегиональная,-34.0
41603102,Пикалёвское,2016,Международная,20.0
41603102,Пикалёвское,2016,Со странами СНГ,18.0
41603102,Пикалёвское,2016,С другими зарубежными странами,2.0
41603102,Пикалёвское,2016,Внешняя (для региона)  миграция,-14.0
41603102,Пикалёвское,2017,"Миграция, всего",-34.0
41603102,Пикалёвское,2017,В пределах России,-48.0
41603102,Пикалёвское,2017,Внутрирегиональная,-29.0
41603102,Пикалёвское,2017,Межрегиональная,-19.0
41603102,Пикалёвское,2017,Международная,14.0
41603102,Пикалёвское,2017,Со странами СНГ,14.0
41603102,Пикалёвское,2017,С другими зарубежными странами,0.0
41603102,Пикалёвское,2017,Внешняя (для региона)  миграция,-5.0
41603102,Пикалёвское,2018,"Миграция, всего",-39.0
41603102,Пикалёвское,2018,В пределах России,-44.0
41603102,Пикалёвское,2018,Внутрирегиональная,-1.0
41603102,Пикалёвское,2018,Межрегиональная,-43.0
41603102,Пикалёвское,2018,Международная,5.0
41603102,Пикалёвское,2018,Со странами СНГ,5.0
41603102,Пикалёвское,2018,С другими зарубежными странами,0.0
41603102,Пикалёвское,2018,Внешняя (для региона)  миграция,-38.0
41603102,Пикалёвское,2019,"Миграция, всего",-60.0
41603102,Пикалёвское,2019,В пределах России,-70.0
41603102,Пикалёвское,2019,Внутрирегиональная,-67.0
41603102,Пикалёвское,2019,Межрегиональная,-3.0
41603102,Пикалёвское,2019,Международная,10.0
41603102,Пикалёвское,2019,Со странами СНГ,15.0
41603102,Пикалёвское,2019,С другими зарубежными странами,-5.0
41603102,Пикалёвское,2019,Внешняя (для региона)  миграция,7.0
41603102,Пикалёвское,2021,"Миграция, всего",8.0
41603102,Пикалёвское,2021,В пределах России,-40.0
41603102,Пикалёвское,2021,Внутрирегиональная,21.0
41603102,Пикалёвское,2021,Межрегиональная,-61.0
41603102,Пикалёвское,2021,Международная,48.0
41603102,Пикалёвское,2021,Со странами СНГ,48.0
41603102,Пикалёвское,2021,С другими зарубежными странами,0.0
41603102,Пикалёвское,2021,Внешняя (для региона)  миграция,-13.0
41603102,Пикалёвское,2022,"Миграция, всего",-16.0
41603102,Пикалёвское,2022,В пределах России,-28.0
41603102,Пикалёвское,2022,Внутрирегиональная,1.0
41603102,Пикалёвское,2022,Межрегиональная,-29.0
41603102,Пикалёвское,2022,Международная,12.0
41603102,Пикалёвское,2022,Со странами СНГ,10.0
41603102,Пикалёвское,2022,С другими зарубежными странами,nan
41603102,Пикалёвское,2022,Внешняя (для региона)  миграция,-17.0
41603155,Ефимовское,2015,"Миграция, всего",-83.0
41603155,Ефимовское,2015,В пределах России,-108.0
41603155,Ефимовское,2015,Внутрирегиональная,-51.0
41603155,Ефимовское,2015,Межрегиональная,-57.0
41603155,Ефимовское,2015,Международная,25.0
41603155,Ефимовское,2015,Со странами СНГ,10.0
41603155,Ефимовское,2015,С другими зарубежными странами,15.0
41603155,Ефимовское,2015,Внешняя (для региона)  миграция,-32.0
41603155,Ефимовское,2016,"Миграция, всего",-23.0
41603155,Ефимовское,2016,В пределах России,-33.0
41603155,Ефимовское,2016,Внутрирегиональная,-28.0
41603155,Ефимовское,2016,Межрегиональная,-5.0
41603155,Ефимовское,2016,Международная,10.0
41603155,Ефимовское,2016,Со странами СНГ,12.0
41603155,Ефимовское,2016,С другими зарубежными странами,-2.0
41603155,Ефимовское,2016,Внешняя (для региона)  миграция,5.0
41603155,Ефимовское,2017,"Миграция, всего",-14.0
41603155,Ефимовское,2017,В пределах России,-21.0
41603155,Ефимовское,2017,Внутрирегиональная,-31.0
41603155,Ефимовское,2017,Межрегиональная,10.0
41603155,Ефимовское,2017,Международная,7.0
41603155,Ефимовское,2017,Со странами СНГ,13.0
41603155,Ефимовское,2017,С другими зарубежными странами,-6.0
41603155,Ефимовское,2017,Внешняя (для региона)  миграция,17.0
41603155,Ефимовское,2018,"Миграция, всего",-61.0
41603155,Ефимовское,2018,В пределах России,-60.0
41603155,Ефимовское,2018,Внутрирегиональная,-48.0
41603155,Ефимовское,2018,Межрегиональная,-12.0
41603155,Ефимовское,2018,Международная,-1.0
41603155,Ефимовское,2018,Со странами СНГ,5.0
41603155,Ефимовское,2018,Внешняя (для региона)  миграция,-13.0
41603155,Ефимовское,2019,"Миграция, всего",-37.0
41603155,Ефимовское,2019,В пределах России,-49.0
41603155,Ефимовское,2019,Внутрирегиональная,-56.0
41603155,Ефимовское,2019,Межрегиональная,7.0
41603155,Ефимовское,2019,Международная,12.0
41603155,Ефимовское,2019,Со странами СНГ,12.0
41603155,Ефимовское,2019,С другими зарубежными странами,0.0
41603155,Ефимовское,2019,Внешняя (для региона)  миграция,19.0
41603155,Ефимовское,2020,"Миграция, всего",-66.0
41603155,Ефимовское,2020,В пределах России,-72.0
41603155,Ефимовское,2020,Внутрирегиональная,-49.0
41603155,Ефимовское,2020,Межрегиональная,-23.0
41603155,Ефимовское,2020,Международная,6.0
41603155,Ефимовское,2020,Со странами СНГ,8.0
41603155,Ефимовское,2020,С другими зарубежными странами,-2.0
41603155,Ефимовское,2020,Внешняя (для региона)  миграция,-17.0
41603155,Ефимовское,2021,"Миграция, всего",45.0
41603155,Ефимовское,2021,В пределах России,-15.0
41603155,Ефимовское,2021,Внутрирегиональная,-14.0
41603155,Ефимовское,2021,Межрегиональная,-1.0
41603155,Ефимовское,2021,Международная,60.0
41603155,Ефимовское,2021,Со странами СНГ,58.0
41603155,Ефимовское,2021,С другими зарубежными странами,2.0
41603155,Ефимовское,2021,Внешняя (для региона)  миграция,59.0
41603155,Ефимовское,2022,"Миграция, всего",-7.0
41603155,Ефимовское,2022,В пределах России,-34.0
41603155,Ефимовское,2022,Внутрирегиональная,-28.0
41603155,Ефимовское,2022,Межрегиональная,-6.0
41603155,Ефимовское,2022,Международная,27.0
41603155,Ефимовское,2022,Со странами СНГ,27.0
41603155,Ефимовское,2022,Внешняя (для региона)  миграция,21.0
41603412,Большедворское,2015,"Миграция, всего",20.0
41603412,Большедворское,2015,В пределах России,-11.0
41603412,Большедворское,2015,Внутрирегиональная,-6.0
41603412,Большедворское,2015,Межрегиональная,-5.0
41603412,Большедворское,2015,Международная,31.0
41603412,Большедворское,2015,Со странами СНГ,30.0
41603412,Большедворское,2015,С другими зарубежными странами,nan
41603412,Большедворское,2015,Внешняя (для региона)  миграция,26.0
41603412,Большедворское,2016,"Миграция, всего",2.0
41603412,Большедворское,2016,В пределах России,-14.0
41603412,Большедворское,2016,Внутрирегиональная,0.0
41603412,Большедворское,2016,Межрегиональная,-14.0
41603412,Большедворское,2016,Международная,16.0
41603412,Большедворское,2016,Со странами СНГ,17.0
41603412,Большедворское,2016,Внешняя (для региона)  миграция,2.0
41603412,Большедворское,2017,"Миграция, всего",3.0
41603412,Большедворское,2017,В пределах России,-14.0
41603412,Большедворское,2017,Внутрирегиональная,-18.0
41603412,Большедворское,2017,Межрегиональная,4.0
41603412,Большедворское,2017,Международная,17.0
41603412,Большедворское,2017,Со странами СНГ,17.0
41603412,Большедворское,2017,Внешняя (для региона)  миграция,21.0
41603412,Большедворское,2018,"Миграция, всего",9.0
41603412,Большедворское,2018,В пределах России,-10.0
41603412,Большедворское,2018,Внутрирегиональная,-17.0
41603412,Большедворское,2018,Межрегиональная,7.0
41603412,Большедворское,2018,Международная,19.0
41603412,Большедворское,2018,Со странами СНГ,18.0
41603412,Большедворское,2018,С другими зарубежными странами,nan
41603412,Большедворское,2018,Внешняя (для региона)  миграция,26.0
41603412,Большедворское,2019,"Миграция, всего",-6.0
41603412,Большедворское,2019,В пределах России,-15.0
41603412,Большедворское,2019,Внутрирегиональная,-18.0
41603412,Большедворское,2019,Межрегиональная,3.0
41603412,Большедворское,2019,Международная,9.0
41603412,Большедворское,2019,Со странами СНГ,9.0
41603412,Большедворское,2019,Внешняя (для региона)  миграция,12.0
41603412,Большедворское,2020,"Миграция, всего",9.0
41603412,Большедворское,2020,В пределах России,15.0
41603412,Большедворское,2020,Внутрирегиональная,12.0
41603412,Большедворское,2020,Межрегиональная,3.0
41603412,Большедворское,2020,Международная,-6.0
41603412,Большедворское,2020,Со странами СНГ,-5.0
41603412,Большедворское,2020,Внешняя (для региона)  миграция,-3.0
41603412,Большедворское,2021,"Миграция, всего",-5.0
41603412,Большедворское,2021,В пределах России,-14.0
41603412,Большедворское,2021,Внутрирегиональная,-19.0
41603412,Большедворское,2021,Межрегиональная,5.0
41603412,Большедворское,2021,Международная,9.0
41603412,Большедворское,2021,Со странами СНГ,9.0
41603412,Большедворское,2021,Внешняя (для региона)  миграция,14.0
41603412,Большедворское,2022,"Миграция, всего",28.0
41603412,Большедворское,2022,В пределах России,17.0
41603412,Большедворское,2022,Внутрирегиональная,15.0
41603412,Большедворское,2022,Межрегиональная,2.0
41603412,Большедворское,2022,Международная,11.0
41603412,Большедворское,2022,Со странами СНГ,11.0
41603412,Большедворское,2022,Внешняя (для региона)  миграция,13.0
41603416,Борское,2015,"Миграция, всего",29.0
41603416,Борское,2015,В пределах России,3.0
41603416,Борское,2015,Внутрирегиональная,6.0
41603416,Борское,2015,Межрегиональная,-3.0
41603416,Борское,2015,Международная,26.0
41603416,Борское,2015,Со странами СНГ,26.0
41603416,Борское,2015,С другими зарубежными странами,0.0
41603416,Борское,2015,Внешняя (для региона)  миграция,23.0
41603416,Борское,2016,"Миграция, всего",-2.0
41603416,Борское,2016,В пределах России,-22.0
41603416,Борское,2016,Внутрирегиональная,-13.0
41603416,Борское,2016,Межрегиональная,-9.0
41603416,Борское,2016,Международная,20.0
41603416,Борское,2016,Со странами СНГ,21.0
41603416,Борское,2016,Внешняя (для региона)  миграция,11.0
41603416,Борское,2017,"Миграция, всего",5.0
41603416,Борское,2017,В пределах России,-24.0
41603416,Борское,2017,Внутрирегиональная,-45.0
41603416,Борское,2017,Межрегиональная,21.0
41603416,Борское,2017,Международная,29.0
41603416,Борское,2017,Со странами СНГ,29.0
41603416,Борское,2017,С другими зарубежными странами,0.0
41603416,Борское,2017,Внешняя (для региона)  миграция,50.0
41603416,Борское,2018,"Миграция, всего",-32.0
41603416,Борское,2018,В пределах России,-49.0
41603416,Борское,2018,Внутрирегиональная,-39.0
41603416,Борское,2018,Межрегиональная,-10.0
41603416,Борское,2018,Международная,17.0
41603416,Борское,2018,Со странами СНГ,17.0
41603416,Борское,2018,Внешняя (для региона)  миграция,7.0
41603416,Борское,2019,"Миграция, всего",8.0
41603416,Борское,2019,В пределах России,-12.0
41603416,Борское,2019,Внутрирегиональная,-13.0
41603416,Борское,2019,Межрегиональная,1.0
41603416,Борское,2019,Международная,20.0
41603416,Борское,2019,Со странами СНГ,20.0
41603416,Борское,2019,С другими зарубежными странами,0.0
41603416,Борское,2019,Внешняя (для региона)  миграция,21.0
41603416,Борское,2020,"Миграция, всего",46.0
41603416,Борское,2020,В пределах России,33.0
41603416,Борское,2020,Внутрирегиональная,4.0
41603416,Борское,2020,Межрегиональная,29.0
41603416,Борское,2020,Международная,13.0
41603416,Борское,2020,Со странами СНГ,13.0
41603416,Борское,2020,С другими зарубежными странами,0.0
41603416,Борское,2020,Внешняя (для региона)  миграция,42.0
41603416,Борское,2021,"Миграция, всего",5.0
41603416,Борское,2021,В пределах России,-15.0
41603416,Борское,2021,Внутрирегиональная,-24.0
41603416,Борское,2021,Межрегиональная,9.0
41603416,Борское,2021,Международная,20.0
41603416,Борское,2021,Со странами СНГ,20.0
41603416,Борское,2021,С другими зарубежными странами,0.0
41603416,Борское,2021,Внешняя (для региона)  миграция,29.0
41603416,Борское,2022,"Миграция, всего",0.0
41603416,Борское,2022,В пределах России,1.0
41603416,Борское,2022,Внутрирегиональная,4.0
41603416,Борское,2022,Межрегиональная,-3.0
41603416,Борское,2022,Международная,-1.0
41603416,Борское,2022,Со странами СНГ,-1.0
41603416,Борское,2022,С другими зарубежными странами,0.0
41603416,Борское,2022,Внешняя (для региона)  миграция,-4.0
41603434,Климовское,2015,"Миграция, всего",-19.0
41603434,Климовское,2015,В пределах России,-15.0
41603434,Климовское,2015,Внутрирегиональная,-11.0
41603434,Климовское,2015,Межрегиональная,-4.0
41603434,Климовское,2015,Международная,-4.0
41603434,Климовское,2015,Со странами СНГ,-4.0
41603434,Климовское,2015,Внешняя (для региона)  миграция,-8.0
41603434,Климовское,2016,"Миграция, всего",25.0
41603434,Климовское,2016,В пределах России,2.0
41603434,Климовское,2016,Внутрирегиональная,-8.0
41603434,Климовское,2016,Межрегиональная,10.0
41603434,Климовское,2016,Международная,23.0
41603434,Климовское,2016,Со странами СНГ,23.0
41603434,Климовское,2016,Внешняя (для региона)  миграция,33.0
41603434,Климовское,2017,"Миграция, всего",-7.0
41603434,Климовское,2017,В пределах России,-13.0
41603434,Климовское,2017,Внутрирегиональная,-19.0
41603434,Климовское,2017,Межрегиональная,6.0
41603434,Климовское,2017,Международная,6.0
41603434,Климовское,2017,Со странами СНГ,6.0
41603434,Климовское,2017,Внешняя (для региона)  миграция,12.0
41603434,Климовское,2018,"Миграция, всего",-19.0
41603434,Климовское,2018,В пределах России,-27.0
41603434,Климовское,2018,Внутрирегиональная,-16.0
41603434,Климовское,2018,Межрегиональная,-11.0
41603434,Климовское,2018,Международная,8.0
41603434,Климовское,2018,Со странами СНГ,8.0
41603434,Климовское,2018,Внешняя (для региона)  миграция,-3.0
41603434,Климовское,2019,"Миграция, всего",2.0
41603434,Климовское,2019,В пределах России,-3.0
41603434,Климовское,2019,Внутрирегиональная,-6.0
41603434,Климовское,2019,Межрегиональная,3.0
41603434,Климовское,2019,Международная,5.0
41603434,Климовское,2019,Со странами СНГ,5.0
41603434,Климовское,2019,Внешняя (для региона)  миграция,8.0
41603460,Лидское,2015,"Миграция, всего",12.0
41603460,Лидское,2015,В пределах России,-13.0
41603460,Лидское,2015,Внутрирегиональная,-8.0
41603460,Лидское,2015,Межрегиональная,-5.0
41603460,Лидское,2015,Международная,25.0
41603460,Лидское,2015,Со странами СНГ,23.0
41603460,Лидское,2015,С другими зарубежными странами,nan
41603460,Лидское,2015,Внешняя (для региона)  миграция,20.0
41603460,Лидское,2016,"Миграция, всего",-5.0
41603460,Лидское,2016,В пределах России,-6.0
41603460,Лидское,2016,Внутрирегиональная,-17.0
41603460,Лидское,2016,Межрегиональная,11.0
41603460,Лидское,2016,Международная,1.0
41603460,Лидское,2016,Со странами СНГ,1.0
41603460,Лидское,2016,Внешняя (для региона)  миграция,12.0
41603460,Лидское,2017,"Миграция, всего",10.0
41603460,Лидское,2017,В пределах России,-12.0
41603460,Лидское,2017,Внутрирегиональная,-7.0
41603460,Лидское,2017,Межрегиональная,-5.0
41603460,Лидское,2017,Международная,22.0
41603460,Лидское,2017,Со странами СНГ,22.0
41603460,Лидское,2017,Внешняя (для региона)  миграция,17.0
41603460,Лидское,2018,"Миграция, всего",-11.0
41603460,Лидское,2018,В пределах России,-16.0
41603460,Лидское,2018,Внутрирегиональная,-15.0
41603460,Лидское,2018,Межрегиональная,-1.0
41603460,Лидское,2018,Международная,5.0
41603460,Лидское,2018,Со странами СНГ,5.0
41603460,Лидское,2018,Внешняя (для региона)  миграция,4.0
41603460,Лидское,2019,"Миграция, всего",-5.0
41603460,Лидское,2019,В пределах России,-19.0
41603460,Лидское,2019,Внутрирегиональная,-10.0
41603460,Лидское,2019,Межрегиональная,-9.0
41603460,Лидское,2019,Международная,14.0
41603460,Лидское,2019,Со странами СНГ,13.0
41603460,Лидское,2019,С другими зарубежными странами,nan
41603460,Лидское,2019,Внешняя (для региона)  миграция,5.0
41603460,Лидское,2021,"Миграция, всего",31.0
41603460,Лидское,2021,В пределах России,8.0
41603460,Лидское,2021,Внутрирегиональная,-11.0
41603460,Лидское,2021,Межрегиональная,19.0
41603460,Лидское,2021,Международная,23.0
41603460,Лидское,2021,Со странами СНГ,23.0
41603460,Лидское,2021,Внешняя (для региона)  миграция,42.0
41603460,Лидское,2022,"Миграция, всего",26.0
41603460,Лидское,2022,В пределах России,0.0
41603460,Лидское,2022,Внутрирегиональная,-15.0
41603460,Лидское,2022,Межрегиональная,15.0
41603460,Лидское,2022,Международная,26.0
41603460,Лидское,2022,Со странами СНГ,26.0
41603460,Лидское,2022,С другими зарубежными странами,0.0
41603460,Лидское,2022,Внешняя (для региона)  миграция,41.0
41603472,Радогощинское,2015,"Миграция, всего",-43.0
41603472,Радогощинское,2015,В пределах России,-40.0
41603472,Радогощинское,2015,Внутрирегиональная,-35.0
41603472,Радогощинское,2015,Межрегиональная,-5.0
41603472,Радогощинское,2015,Международная,-3.0
41603472,Радогощинское,2015,Со странами СНГ,-2.0
41603472,Радогощинское,2015,Внешняя (для региона)  миграция,-8.0
41603472,Радогощинское,2016,"Миграция, всего",-18.0
41603472,Радогощинское,2016,В пределах России,-18.0
41603472,Радогощинское,2016,Внутрирегиональная,-20.0
41603472,Радогощинское,2016,Межрегиональная,2.0
41603472,Радогощинское,2016,Международная,0.0
41603472,Радогощинское,2016,Со странами СНГ,0.0
41603472,Радогощинское,2016,Внешняя (для региона)  миграция,2.0
41603472,Радогощинское,2017,"Миграция, всего",1.0
41603472,Радогощинское,2017,В пределах России,1.0
41603472,Радогощинское,2017,Внутрирегиональная,3.0
41603472,Радогощинское,2017,Межрегиональная,-2.0
41603472,Радогощинское,2017,Международная,0.0
41603472,Радогощинское,2017,Со странами СНГ,0.0
41603472,Радогощинское,2017,Внешняя (для региона)  миграция,-2.0
41603472,Радогощинское,2018,"Миграция, всего",-8.0
41603472,Радогощинское,2018,В пределах России,-10.0
41603472,Радогощинское,2018,Внутрирегиональная,-3.0
41603472,Радогощинское,2018,Межрегиональная,-7.0
41603472,Радогощинское,2018,Международная,2.0
41603472,Радогощинское,2018,Со странами СНГ,2.0
41603472,Радогощинское,2018,Внешняя (для региона)  миграция,-5.0
41603472,Радогощинское,2019,"Миграция, всего",4.0
41603472,Радогощинское,2019,В пределах России,2.0
41603472,Радогощинское,2019,Внутрирегиональная,-3.0
41603472,Радогощинское,2019,Межрегиональная,5.0
41603472,Радогощинское,2019,Международная,2.0
41603472,Радогощинское,2019,Со странами СНГ,2.0
41603472,Радогощинское,2019,Внешняя (для региона)  миграция,7.0
41603476,Самойловское,2015,"Миграция, всего",42.0
41603476,Самойловское,2015,В пределах России,48.0
41603476,Самойловское,2015,Внутрирегиональная,28.0
41603476,Самойловское,2015,Межрегиональная,20.0
41603476,Самойловское,2015,Международная,-6.0
41603476,Самойловское,2015,Со странами СНГ,-5.0
41603476,Самойловское,2015,С другими зарубежными странами,-1.0
41603476,Самойловское,2015,Внешняя (для региона)  миграция,14.0
41603476,Самойловское,2016,"Миграция, всего",39.0
41603476,Самойловское,2016,В пределах России,21.0
41603476,Самойловское,2016,Внутрирегиональная,7.0
41603476,Самойловское,2016,Межрегиональная,14.0
41603476,Самойловское,2016,Международная,18.0
41603476,Самойловское,2016,Со странами СНГ,18.0
41603476,Самойловское,2016,С другими зарубежными странами,0.0
41603476,Самойловское,2016,Внешняя (для региона)  миграция,32.0
41603476,Самойловское,2017,"Миграция, всего",50.0
41603476,Самойловское,2017,В пределах России,24.0
41603476,Самойловское,2017,Внутрирегиональная,7.0
41603476,Самойловское,2017,Межрегиональная,17.0
41603476,Самойловское,2017,Международная,26.0
41603476,Самойловское,2017,Со странами СНГ,24.0
41603476,Самойловское,2017,С другими зарубежными странами,nan
41603476,Самойловское,2017,Внешняя (для региона)  миграция,43.0
41603476,Самойловское,2018,"Миграция, всего",-14.0
41603476,Самойловское,2018,В пределах России,-25.0
